h3_id,segment,overall_index,volume_index,exclusivity_index
884312492dfffff,Families,20.6696,8.114116537898529e-05,0.329
884312492dfffff,HNWI,5.8812,0.04360449972137561,0.5827
884312492dfffff,Students,48.1067,0.003259746394399433,0.4532
884312492dfffff,Potential Car Buyers,45.97,3.418986049847189e-05,0.1828
8843126a99fffff,Families,72.6748,5.3554035502661916e-05,0.2495
8843126a99fffff,HNWI,59.1566,1.7313322372213076e-05,0.1966
8843126a99fffff,Potential Car Buyers,33.7224,0.03842742419731261,0.0387
8843126abbfffff,HNWI,56.3693,0.00937722651124235,0.8237
8843126abbfffff,Students,23.4819,0.019873136381244372,0.7204
8843126abbfffff,Tourists,18.2794,0.0005788081380872304,0.8524
8843126abbfffff,Potential Car Buyers,22.4247,2.1407171385378545e-05,0.204
8843127181fffff,Families,21.5428,0.0016488377426010863,0.0605
8843127181fffff,HNWI,29.5091,0.0005144252868157451,0.1316
8843127181fffff,Students,71.2763,1.1968130460641555e-05,0.6569
8843127181fffff,Tourists,46.7594,0.027454355402512873,0.0351
8843127181fffff,Potential Car Buyers,72.8179,0.00015707965003977498,0.9628
8843a00a9dfffff,Families,50.8984,0.0011777608369784242,0.7305
8843a00a9dfffff,HNWI,79.9486,0.04999751272821985,0.5461
8843a00a9dfffff,Students,72.0167,0.00011262828271973654,0.7037
8843a00a9dfffff,Tourists,73.2011,0.003914385674916717,0.6851
8843a0241dfffff,HNWI,63.2447,3.516489328803827e-05,0.5728
8843a0241dfffff,Students,30.5929,0.000466965109937774,0.6089
8843a0241dfffff,Tourists,51.156,1.063435729307319e-05,0.8798
8843a0241dfffff,Potential Car Buyers,31.081,0.0001147750244109514,0.581
8843a02d35fffff,Families,67.0712,0.04622438172479772,0.7502
8843a02d35fffff,HNWI,48.1068,0.0011917159132162896,0.2302
8843a02d35fffff,Students,39.7851,0.00034832685003850924,0.9205
8843a02d35fffff,Tourists,0.9145,0.0062498477179139785,0.6781
8843a02d35fffff,Potential Car Buyers,13.5769,2.3829427045397263e-05,0.66
8843a02d93fffff,Families,71.3392,0.004922180376730394,0.6659
8843a02d93fffff,HNWI,34.4773,5.970990808051282e-05,0.9142
8843a02d93fffff,Tourists,46.6527,0.005420665668325482,0.1362
8843a02d93fffff,Potential Car Buyers,66.9693,4.0282719303414085e-05,0.7112
8843a0336bfffff,HNWI,13.5386,0.0015754411865912667,0.2752
8843a0336bfffff,Students,33.1246,0.0003140984310403956,0.4939
8843a0336bfffff,Tourists,67.1311,1.1799238418971243e-05,0.4525
8843a0336bfffff,Potential Car Buyers,2.5285,3.2261442542614995e-05,0.0415
8843a06c27fffff,Families,45.6509,0.00580602089367476,0.7915
8843a06c27fffff,HNWI,10.8791,0.001515899274579294,0.0247
8843a06c27fffff,Tourists,11.2786,0.06489776241928866,0.6292
8843a06c27fffff,Potential Car Buyers,50.4008,0.00023978821674640932,0.8074
8843a07235fffff,HNWI,15.9553,0.001257276481781855,0.1787
8843a07235fffff,Students,37.7812,0.00013909649237481525,0.1791
8843a07235fffff,Tourists,27.6657,0.0001624627164888392,0.5204
8843a07235fffff,Potential Car Buyers,60.499,0.0026664604945842115,0.7919
8843a105ebfffff,HNWI,74.609,0.00012897077038453493,0.1299
8843a105ebfffff,Students,50.0476,2.291598688890144e-05,0.3768
8843a105ebfffff,Tourists,70.3469,6.50026461437375e-05,0.9443
8843a105ebfffff,Potential Car Buyers,52.1093,0.015150345660370042,0.7219
8843a12453fffff,HNWI,57.4158,0.014022120129081616,0.9
8843a12453fffff,Potential Car Buyers,63.2651,0.00522902952192292,0.91
8843a128e5fffff,HNWI,6.631,0.001723436274489878,0.5503
8843a128e5fffff,Students,39.0009,0.07697656949835939,0.8091
8843a128e5fffff,Tourists,63.9908,0.020342989323380974,0.335
8843a128e5fffff,Potential Car Buyers,11.2486,0.025427155911031077,0.5165
8843a1660bfffff,Families,67.1997,0.00017478888916803826,0.9457
8843a1660bfffff,HNWI,75.9329,0.0452799531896365,0.2214
8843a1660bfffff,Students,23.2207,0.0001215142454221901,0.6389
8843a1660bfffff,Tourists,67.4914,0.0005755931881355428,0.3117
8843a1660bfffff,Potential Car Buyers,67.6224,2.4997688269405588e-05,0.2082
8843a1a231fffff,Students,45.8434,0.015708369121409393,0.5359
8843a1a231fffff,Tourists,48.4222,0.07744224400357413,0.9694
8843a1a231fffff,Potential Car Buyers,32.0527,6.247780069295144e-05,0.5629
8843a1b635fffff,Families,55.282,0.054500324283788655,0.5387
8843a1b635fffff,HNWI,76.5496,2.0245339592739193e-05,0.2692
8843a1b635fffff,Students,10.1661,0.001842000049025514,0.8157
8843a1b635fffff,Potential Car Buyers,25.384,0.01714719685546881,0.6179
8843a1cea7fffff,HNWI,62.3453,0.08106926616697689,0.1941
8843a1cea7fffff,Students,54.9659,0.005148384842213007,0.3553
8843a1cea7fffff,Tourists,8.3998,0.00011924083225370214,0.1228
8843a1cea7fffff,Potential Car Buyers,20.0518,0.01618395302180154,0.5304
8843a315d9fffff,Families,30.0651,0.002220199248353791,0.5293
8843a315d9fffff,HNWI,16.3493,0.00029835959740967104,0.6385
8843a315d9fffff,Students,68.1021,0.0003574007294253247,0.8568
8843a315d9fffff,Tourists,59.2643,5.727525279198478e-05,0.9027
8843a315d9fffff,Potential Car Buyers,25.2059,2.0367237128809478e-05,0.2181
8843a33513fffff,Students,19.1554,0.00012407776700925846,0.2595
8843a33513fffff,Tourists,66.5752,0.0020581528235516003,0.7899
8843a33513fffff,Potential Car Buyers,32.2283,0.00018161025920430872,0.0178
8843a3818dfffff,Families,54.5938,2.262080767202097e-05,0.9684
8843a3818dfffff,HNWI,40.4594,9.276459904700771e-05,0.5028
8843a3818dfffff,Students,15.1287,0.052214543250259086,0.1062
8843a3818dfffff,Tourists,44.1382,0.0008723739917641816,0.5687
8843a3818dfffff,Potential Car Buyers,14.7711,0.015287762560365178,0.8402
8843a38337fffff,Students,4.965,1.563220533393856e-05,0.4621
8843a38337fffff,Tourists,26.1529,0.001355690434268999,0.5153
8843a38337fffff,Potential Car Buyers,48.0784,0.08851481823093665,0.701
8843a39103fffff,HNWI,36.3215,0.00011032223626741166,0.4053
8843a39103fffff,Students,13.2145,0.0008907520024078747,0.0154
8843a3a0ddfffff,Families,68.8599,0.0003037069211696291,0.4045
8843a3a0ddfffff,HNWI,40.3481,1.1729486639272642e-05,0.8048
8843a3a0ddfffff,Students,72.9048,0.00010525927527926435,0.778
8843a3a0ddfffff,Potential Car Buyers,71.7246,3.0243632906953204e-05,0.6948
8843a3b359fffff,Families,61.2207,0.002382418038523814,0.7226
8843a3b359fffff,HNWI,27.3441,0.0013324116926762097,0.0106
8843a3b359fffff,Students,51.1006,0.00031909418117180186,0.2321
8843a3b359fffff,Potential Car Buyers,27.0319,0.00022959111502068456,0.5696
8843a3bb17fffff,Families,31.1736,1.0010411659334099e-05,0.6423
8843a3bb17fffff,HNWI,60.9416,1.2013046456040414e-05,0.0228
8843a3bb17fffff,Students,59.1062,0.00940732234410753,0.4016
8843a3bb17fffff,Tourists,15.6437,0.003142629434989002,0.0984
8843a3bb17fffff,Potential Car Buyers,72.4524,0.0006306221726125414,0.5078
8843a52d99fffff,HNWI,79.6085,0.0002805108116840672,0.8095
8843a52d99fffff,Students,47.807,9.183476597559361e-05,0.0451
8843a52d99fffff,Potential Car Buyers,37.7462,0.021062474839557633,0.4955
8843a56951fffff,Families,4.693,1.6554129872139462e-05,0.4207
8843a56951fffff,HNWI,47.8306,0.0034490434881512422,0.2858
8843a56951fffff,Students,44.8559,0.007343212602855753,0.7166
8843a56951fffff,Tourists,1.1309,0.010469085304729243,0.0428
8843a56951fffff,Potential Car Buyers,60.374,0.0027553563043666396,0.8975
8843a57519fffff,Families,4.0222,1.1089761625298594e-05,0.9445
8843a57519fffff,HNWI,72.445,0.0019139784397719348,0.4776
8843a57519fffff,Tourists,41.8735,1.7820348322621742e-05,0.7227
8843a57519fffff,Potential Car Buyers,78.3059,5.410231284536578e-05,0.6036
8843ac145dfffff,Families,49.9436,0.0015039910635755373,0.2037
8843ac145dfffff,HNWI,42.2527,0.031819722225314845,0.4429
8843ac145dfffff,Students,36.4497,0.008942982199933105,0.5822
8843ac145dfffff,Tourists,62.2396,0.0007532427341023275,0.9976
8843ac1a33fffff,Families,19.0805,0.035036909158417395,0.8927
8843ac1a33fffff,HNWI,50.0019,0.0036581745277709772,0.2715
8843ac1a33fffff,Students,45.1956,0.0004298329187826708,0.6331
8843ac1a33fffff,Tourists,15.1933,0.01009615151017603,0.9797
8843ac2603fffff,HNWI,4.8723,0.008245978617828838,0.4252
8843ac2603fffff,Students,8.2065,0.0006814081196940309,0.0725
8843ac2603fffff,Tourists,54.1056,0.0006273148279925601,0.6311
8843ac2603fffff,Potential Car Buyers,38.2897,0.014370420325376944,0.3437
8843ac334dfffff,Families,67.0859,0.05042122460887726,0.1198
8843ac334dfffff,Students,61.5024,0.01403916851982981,0.4244
8843ac334dfffff,Tourists,64.7921,0.003343489915581848,0.6537
8843ac3585fffff,Families,43.8936,0.00010365278067983255,0.9208
8843ac3585fffff,HNWI,29.5471,0.040919680501576676,0.8752
8843ac3585fffff,Students,6.6509,0.0005535218634853677,0.4849
8843ac3585fffff,Tourists,23.9167,7.906555172906202e-05,0.0761
8843ac3585fffff,Potential Car Buyers,52.9712,0.04711555240474324,0.3038
8843ac4e35fffff,Families,55.5215,0.007384809112851475,0.1429
8843ac4e35fffff,HNWI,58.0808,0.00342312053496766,0.1174
8843ac4e35fffff,Students,45.5463,2.1172566727578074e-05,0.9399
8843ac4e35fffff,Potential Car Buyers,64.2459,0.006038677415411011,0.3176
8843aca945fffff,Families,74.7739,2.6368798958460923e-05,0.2483
8843aca945fffff,HNWI,29.2515,0.0035217042358989237,0.3956
8843aca945fffff,Students,15.6049,0.0005556243173689204,0.7971
8843aca945fffff,Tourists,66.9117,0.000560897084372455,0.1766
8843aca945fffff,Potential Car Buyers,70.4731,0.007484800568670537,0.0222
8843acc46bfffff,Families,43.5367,0.000537217245497673,0.9664
8843acc46bfffff,HNWI,64.3475,0.05543372955418031,0.5468
8843acc46bfffff,Students,6.7329,0.04713131816436339,0.7371
8843acc46bfffff,Potential Car Buyers,50.7339,0.026575916068921974,0.7458
8843ae054dfffff,Families,19.6436,0.01312806188755552,0.7654
8843ae054dfffff,HNWI,61.1791,0.002645268101282188,0.3378
8843ae054dfffff,Tourists,39.498,0.0007089908503597778,0.7209
8843ae054dfffff,Potential Car Buyers,73.199,0.0022781266659846876,0.8262
8843ae42e5fffff,Families,68.2818,5.9754547381935694e-05,0.8338
8843ae42e5fffff,Tourists,41.9133,0.00014442899145521986,0.8023
8843ae42e5fffff,Potential Car Buyers,33.6423,0.02601610324466351,0.7412
8843ae611dfffff,HNWI,13.4208,0.015224428578896764,0.4249
8843ae611dfffff,Students,77.5811,0.057965812405718374,0.3084
8843ae611dfffff,Tourists,51.8419,7.875168891900435e-05,0.1794
8843ae611dfffff,Potential Car Buyers,36.7062,0.00046103539923858907,0.9093
8843ae90dbfffff,Families,8.703,0.01827425359144925,0.2174
8843ae90dbfffff,HNWI,57.3823,0.0004176916496659547,0.224
8843ae90dbfffff,Students,22.4921,0.020414866284522295,0.7575
8843ae90dbfffff,Tourists,43.8633,5.3887299912963165e-05,0.4795
8843ae90dbfffff,Potential Car Buyers,70.9946,2.2028655224519955e-05,0.3421
8843ae92d1fffff,Families,76.562,0.0011736701193922315,0.221
8843ae92d1fffff,HNWI,75.8021,6.227724340738856e-05,0.385
8843ae92d1fffff,Students,41.2703,0.007976265392421661,0.9902
8843ae92d1fffff,Tourists,19.0167,0.09046724911202103,0.4726
8843ae92d1fffff,Potential Car Buyers,63.7439,0.00014023293928016247,0.6061
8843aeb9d9fffff,Families,12.5612,0.005161607791197587,0.2594
8843aeb9d9fffff,Students,50.961,1.0654290699673717e-05,0.2665
8843aeb9d9fffff,Tourists,12.0608,8.288750998462448e-05,0.0014
8843aecb69fffff,Students,21.601,0.0001361157763890964,0.0972
8843aecb69fffff,Tourists,37.4984,1.5066897113846498e-05,0.5866
8843aecc09fffff,Families,63.1478,0.0021484141238809957,0.9168
8843aecc09fffff,HNWI,66.1078,0.01466786096418058,0.5434
8843aecc09fffff,Students,12.6125,4.6985463343340155e-05,0.3114
8843aecc09fffff,Tourists,6.0912,0.00598679696543365,0.4672
8843aecc09fffff,Potential Car Buyers,28.7832,0.00017849359754713872,0.1058
